"Hair","Eye","Sex","Freq"
"Black","Brown","Male",320
"Brown","Brown","Male",530
"Red","Brown","Male",100
"Blond","Brown","Male",30
"Black","Blue","Male",110
"Brown","Blue","Male",500
"Red","Blue","Male",100
"Blond","Blue","Male",300
"Black","Hazel","Male",100
"Brown","Hazel","Male",250
"Red","Hazel","Male",70
"Blond","Hazel","Male",50
"Black","Green","Male",30
"Brown","Green","Male",150
"Red","Green","Male",70
"Blond","Green","Male",80
"Black","Brown","Female",360
"Brown","Brown","Female",660
"Red","Brown","Female",160
"Blond","Brown","Female",40
"Black","Blue","Female",90
"Brown","Blue","Female",340
"Red","Blue","Female",70
"Blond","Blue","Female",640
"Black","Hazel","Female",50
"Brown","Hazel","Female",290
"Red","Hazel","Female",70
"Blond","Hazel","Female",50
"Black","Green","Female",20
"Brown","Green","Female",140
"Red","Green","Female",70
"Blond","Green","Female",80
