SOC,PT,Drug,Dsize,Placebo,Psize
感染症および寄生虫症,鼻咽頭炎,93,219,116,219
感染症および寄生虫症,インフルエンザ,57,219,68,219
感染症および寄生虫症,咽頭炎,51,219,54,219
感染症および寄生虫症,急性副鼻腔炎,30,219,30,219
感染症および寄生虫症,胃腸炎,23,219,15,219
感染症および寄生虫症,気管支炎,13,219,20,219
感染症および寄生虫症,上気道感染,11,219,16,219
感染症および寄生虫症,レンサ球菌感染,9,219,13,219
感染症および寄生虫症,急性扁桃炎,8,219,4,219
感染症および寄生虫症,中耳炎,8,219,9,219
感染症および寄生虫症,鼻炎,7,219,4,219
感染症および寄生虫症,外耳炎,5,219,7,219
感染症および寄生虫症,ムンプス,4,219,1,219
感染症および寄生虫症,急性中耳炎,4,219,6,219
感染症および寄生虫症,結膜炎,3,219,4,219
感染症および寄生虫症,喉頭炎,3,219,0,219
感染症および寄生虫症,耳下腺炎,3,219,1,219
感染症および寄生虫症,口腔ヘルペス,3,219,1,219
眼障害,眼瞼炎,3,219,1,219
感染症および寄生虫症,麦粒腫,2,219,7,219
感染症および寄生虫症,マイコプラズマ性肺炎,2,219,1,219
傷害、中毒および処置合併症,節足動物咬傷,3,219,1,219
感染症および寄生虫症,副鼻腔炎,2,219,5,219
感染症および寄生虫症,扁桃炎,2,219,3,219
感染症および寄生虫症,せつ,2,219,0,219
感染症および寄生虫症,唾液腺炎,2,219,0,219
感染症および寄生虫症,アデノイド咽頭炎,2,219,0,219
感染症および寄生虫症,ノロウイルス性胃腸炎,2,219,0,219
神経系障害,浮動性めまい,2,219,0,219
感染症および寄生虫症,歯肉炎,1,219,3,219
耳および迷路障害,回転性めまい,2,219,0,219
心臓障害,動悸,2,219,0,219
感染症および寄生虫症,膿痂疹,1,219,3,219
感染症および寄生虫症,鼻前庭炎,1,219,2,219
感染症および寄生虫症,肺炎,1,219,2,219
呼吸器、胸郭および縦隔障害,鼻漏,2,219,0,219
胃腸障害,口の感覚鈍麻,2,219,0,219
胃腸障害,口の錯感覚,2,219,0,219
胃腸障害,口唇そう痒症,2,219,0,219
一般・全身障害および投与部位の状態,胸痛,2,219,0,219
臨床検査,白血球数減少,2,219,0,219
