,"Q2.症状の発生有無",,,,,,,,
,"悪寒","発熱","頭痛","肩こり痛","生理痛","歯痛","腰痛","関節痛","無回答"
"バファリンA","31","40","49","40","22","25","35","23","0"
"イブA錠","34","42","53","43","40","25","37","23","0"
"新セデス錠","29","42","51","41","35","20","37","24","0"
"セデスハイ","31","38","52","43","29","30","41","29","0"
"セデスV","29","42","50","44","25","27","38","29","1"
"セデスキュア","34","43","48","40","40","31","41","30","0"
"ノーシン(錠)","35","37","50","45","14","25","38","28","0"
"ノーシンピュア","27","35","48","42","47","27","37","22","0"
"ナロンエース","28","32","50","39","40","31","36","26","1"
"リングルアイビー","26","38","51","45","42","26","40","27","0"
