Q5 どのような症状の頭痛ですか。あてはまる症状を、全てお選びください。,,,,,,,,,,,,,,,,,,,,
,ズキンズキン痛む,ガンガン痛む,キリキリ痛む,ドーンと痛む,ジワーッと痛む,ギューッと痛む,締め付けられるように痛む,脈にあわせて痛む,鈍痛がある,頭の一部が敏感になる,痛みの前兆症状がある（チカチカ光るなど）,予兆予感を感じる_眠気だるさなど,吐き気や嘔吐をともなう,肩や首筋がこっている,手足がしびれる,体を動かすと痛みが増す,温めると痛みが増す,飲酒により痛みが増す,マッサージや指圧で痛みが増す,その他
バファリンA,35,5,5,3,9,4,4,14,8,1,1,5,9,20,0,6,2,5,3,0
イブA錠,39,13,5,7,6,10,10,17,14,3,7,7,8,25,5,5,4,1,1,0
新セデス錠,31,13,6,2,11,5,10,8,10,3,4,5,10,24,3,5,2,2,0,1
セデスハイ,39,17,7,5,5,11,12,16,15,2,6,9,19,22,2,11,4,3,2,1
セデスV,25,13,9,6,11,11,15,19,14,2,5,11,14,24,6,8,3,6,3,0
セデスキュア,32,8,5,7,15,10,13,12,13,5,4,7,6,17,6,7,4,1,0,0
ノーシン錠,32,10,6,3,13,9,10,10,11,2,3,5,6,19,8,4,2,1,2,0
ノーシンピュア,38,7,8,8,5,7,10,16,12,4,5,10,12,25,2,7,1,4,1,0
ナロンエース,40,16,5,4,11,9,14,17,10,2,3,6,12,23,1,5,0,1,2,1
リングルアイビー,30,10,2,3,12,9,12,21,16,4,5,9,11,29,3,9,2,3,0,0
