"Brand","Symptom","Freq"
"バファリンA","ズキンズキン痛む",35
"バファリンA","ガンガン痛む",5
"バファリンA","キリキリ痛む",5
"バファリンA","ドーンと痛む",3
"バファリンA","ジワーッと痛む",9
"バファリンA","ギューッと痛む",4
"バファリンA","締め付けられるように痛む",4
"バファリンA","脈にあわせて痛む",14
"バファリンA","鈍痛がある",8
"バファリンA","頭の一部が敏感になる",1
"バファリンA","痛みの前兆症状がある（チカチカ光るなど）",1
"バファリンA","予兆予感を感じる_眠気だるさなど",5
"バファリンA","吐き気や嘔吐をともなう",9
"バファリンA","肩や首筋がこっている",20
"バファリンA","手足がしびれる",0
"バファリンA","体を動かすと痛みが増す",6
"バファリンA","温めると痛みが増す",2
"バファリンA","飲酒により痛みが増す",5
"バファリンA","マッサージや指圧で痛みが増す",3
"バファリンA","その他",0
"イブA錠","ズキンズキン痛む",39
"イブA錠","ガンガン痛む",13
"イブA錠","キリキリ痛む",5
"イブA錠","ドーンと痛む",7
"イブA錠","ジワーッと痛む",6
"イブA錠","ギューッと痛む",10
"イブA錠","締め付けられるように痛む",10
"イブA錠","脈にあわせて痛む",17
"イブA錠","鈍痛がある",14
"イブA錠","頭の一部が敏感になる",3
"イブA錠","痛みの前兆症状がある（チカチカ光るなど）",7
"イブA錠","予兆予感を感じる_眠気だるさなど",7
"イブA錠","吐き気や嘔吐をともなう",8
"イブA錠","肩や首筋がこっている",25
"イブA錠","手足がしびれる",5
"イブA錠","体を動かすと痛みが増す",5
"イブA錠","温めると痛みが増す",4
"イブA錠","飲酒により痛みが増す",1
"イブA錠","マッサージや指圧で痛みが増す",1
"イブA錠","その他",0
"新セデス錠","ズキンズキン痛む",31
"新セデス錠","ガンガン痛む",13
"新セデス錠","キリキリ痛む",6
"新セデス錠","ドーンと痛む",2
"新セデス錠","ジワーッと痛む",11
"新セデス錠","ギューッと痛む",5
"新セデス錠","締め付けられるように痛む",10
"新セデス錠","脈にあわせて痛む",8
"新セデス錠","鈍痛がある",10
"新セデス錠","頭の一部が敏感になる",3
"新セデス錠","痛みの前兆症状がある（チカチカ光るなど）",4
"新セデス錠","予兆予感を感じる_眠気だるさなど",5
"新セデス錠","吐き気や嘔吐をともなう",10
"新セデス錠","肩や首筋がこっている",24
"新セデス錠","手足がしびれる",3
"新セデス錠","体を動かすと痛みが増す",5
"新セデス錠","温めると痛みが増す",2
"新セデス錠","飲酒により痛みが増す",2
"新セデス錠","マッサージや指圧で痛みが増す",0
"新セデス錠","その他",1
"セデスハイ","ズキンズキン痛む",39
"セデスハイ","ガンガン痛む",17
"セデスハイ","キリキリ痛む",7
"セデスハイ","ドーンと痛む",5
"セデスハイ","ジワーッと痛む",5
"セデスハイ","ギューッと痛む",11
