"Age","Smoker","Outcome","Freq"
"18-24","No","Alive",71
"18-24","No","Dead",1
"18-24","Yes","Alive",53
"18-24","Yes","Dead",2
"25-34","No","Alive",152
"25-34","No","Dead",4
"25-34","Yes","Alive",122
"25-34","Yes","Dead",3
"35-44","No","Alive",104
"35-44","No","Dead",7
"35-44","Yes","Alive",95
"35-44","Yes","Dead",10
"45-54","No","Alive",66
"45-54","No","Dead",12
"45-54","Yes","Alive",103
"45-54","Yes","Dead",28
"55-64","No","Alive",81
"55-64","No","Dead",41
"55-64","Yes","Alive",64
"55-64","Yes","Dead",52
"65-74","No","Alive",28
"65-74","No","Dead",101
"65-74","Yes","Alive",6
"65-74","Yes","Dead",31
"75+","No","Alive",0
"75+","No","Dead",64
"75+","Yes","Alive",0
"75+","Yes","Dead",13
