"Class","Sex","Age","Survived","Freq"
"1st","Male","Child","No",1
"2nd","Male","Child","No",1
"3rd","Male","Child","No",351
"Crew","Male","Child","No",1
"1st","Female","Child","No",1
"2nd","Female","Child","No",1
"3rd","Female","Child","No",171
"Crew","Female","Child","No",1
"1st","Male","Adult","No",1181
"2nd","Male","Adult","No",1541
"3rd","Male","Adult","No",3871
"Crew","Male","Adult","No",6701
"1st","Female","Adult","No",41
"2nd","Female","Adult","No",131
"3rd","Female","Adult","No",891
"Crew","Female","Adult","No",31
"1st","Male","Child","Yes",51
"2nd","Male","Child","Yes",111
"3rd","Male","Child","Yes",131
"Crew","Male","Child","Yes",1
"1st","Female","Child","Yes",11
"2nd","Female","Child","Yes",131
"3rd","Female","Child","Yes",141
"Crew","Female","Child","Yes",1
"1st","Male","Adult","Yes",571
"2nd","Male","Adult","Yes",141
"3rd","Male","Adult","Yes",751
"Crew","Male","Adult","Yes",1921
"1st","Female","Adult","Yes",1401
"2nd","Female","Adult","Yes",801
"3rd","Female","Adult","Yes",761
"Crew","Female","Adult","Yes",201
